niche	sender	receiver	ligand	receptor	ligand_receptor	prioritization_score	top_niche
pEMT_poor_niche	AMs	EMT_Low	Slit2	Gpc1	Slit2--Gpc1	0.320194354667029	pEMT_rich_niche
pEMT_poor_niche	AMs	EMT_Low	Hspg2	Ptprs	Hspg2--Ptprs	0.317858005339667	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Vegfb	Itgb1	Vegfb--Itgb1	0.308805098808989	pEMT_rich_niche
pEMT_poor_niche	AMs	EMT_Low	Ceacam1	Insr	Ceacam1--Insr	0.29256562735396	pEMT_rich_niche
pEMT_poor_niche	AMs	EMT_Low	Agrn	Itgb1	Agrn--Itgb1	0.292200159631878	pEMT_rich_niche
pEMT_poor_niche	AMs	EMT_Low	Gmfb	Itpr3	Gmfb--Itpr3	0.277687860936894	pEMT_rich_niche
pEMT_poor_niche	AMs	EMT_Low	Cmtm6	P2ry12	Cmtm6--P2ry12	0.277553833588596	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Itgam	Plaur	Itgam--Plaur	0.27007164860681	pEMT_rich_niche
pEMT_poor_niche	AMs	EMT_Low	Mif	Itga4	Mif--Itga4	0.269597275353771	pEMT_poor_niche
pEMT_poor_niche	AMs	EMT_Low	Serpine1	Plaur	Serpine1--Plaur	0.256264683763735	pEMT_rich_niche
pEMT_poor_niche	AMs	EMT_Low	Mmp13	Itgam	Mmp13--Itgam	0.209594284886061	pEMT_poor_niche
